model,dataset,signal,mean_delta,median_delta,frac_positive,n_prompts
mistral7b,humaneval,margin_diff_std,-0.005148233871155002,0.004111303051113013,0.5384615384615384,65
mistral7b,humaneval,margin_early_late_delta,-0.014409589123148709,-0.0045492037040908845,0.47692307692307695,65
mistral7b,humaneval,margin_max,0.0,0.0,0.0,65
mistral7b,humaneval,margin_mean,0.0020673442229949984,-0.003919160798823262,0.47692307692307695,65
mistral7b,humaneval,margin_min,0.009503840900120644,0.01316033800443013,0.6923076923076923,65
mistral7b,humaneval,margin_p90,0.0,0.0,0.0,65
mistral7b,humaneval,margin_range,-0.009503840900120644,-0.013160338004430172,0.3076923076923077,65
mistral7b,humaneval,margin_slope,-0.00020027648285932383,0.00016864079715411294,0.5692307692307692,65
mistral7b,humaneval,margin_std,-0.002571822214577972,0.0062538758279139794,0.5538461538461539,65
mistral7b,humaneval,max_compound_severity,-0.006219780219780235,0.0,0.03076923076923077,65
mistral7b,humaneval,mid_layer_anomaly,0.0,0.0,0.0,65
mistral7b,humaneval,n_compound_signals,-0.015549450549450556,0.0,0.03076923076923077,65
mistral7b,humaneval,n_warning_signals,-0.04263125763125763,-0.125,0.35384615384615387,65
mistral7b,humaneval,nan_detected,0.0,0.0,0.0,65
mistral7b,humaneval,perplexity_max,-0.6092535301707305,0.8236105333768418,0.5692307692307692,65
mistral7b,humaneval,perplexity_mean,-0.026546034178910154,0.010173024249716445,0.5230769230769231,65
mistral7b,humaneval,repetition_detected,0.0,0.0,0.0,65
mistral7b,humaneval,risk_score,-0.002715368892684207,0.0,0.03076923076923077,65
mistral7b,humaneval,risk_score_is_one,-0.015549450549450556,0.0,0.03076923076923077,65
mistral7b,humaneval,risk_score_is_zero,0.0,0.0,0.0,65
mistral7b,humaneval,surprisal_diff_std,-0.07618522996768884,-0.059232805590588744,0.4307692307692308,65
mistral7b,humaneval,surprisal_early_late_delta,0.1267735796495348,0.09549631232998773,0.6461538461538462,65
mistral7b,humaneval,surprisal_max,-0.24728300613871804,-0.04047778893411236,0.49230769230769234,65
mistral7b,humaneval,surprisal_mean,-0.03275740631006242,-0.014056245040489718,0.4153846153846154,65
mistral7b,humaneval,surprisal_min,0.0,0.0,0.0,65
mistral7b,humaneval,surprisal_p90,-0.11625901831761508,0.01377883145122416,0.5076923076923077,65
mistral7b,humaneval,surprisal_range,-0.24728300613871804,-0.04047778893411236,0.49230769230769234,65
mistral7b,humaneval,surprisal_slope,0.003067341573820892,0.000912581963664256,0.5692307692307692,65
mistral7b,humaneval,surprisal_std,-0.07949498170227925,-0.03922548077882948,0.4153846153846154,65
mistral7b,humaneval,surprisal_volatility,0.0033201845919724237,0.06102635202483375,0.5714285714285714,63
mistral7b,humaneval,topk_mass_mean,0.0003677300482200419,-7.02258766107633e-05,0.4307692307692308,65
mistral7b,humaneval,topk_mass_std,-0.0015720688625903971,0.0006429196044723058,0.5692307692307692,65
mistral7b,humaneval,warning_density_per_100t,-0.06900936652207461,0.1608481637424668,0.5384615384615384,65
mixtral,gsm8k,attention_collapse_detected,0.007042253521126761,0.0,0.014084507042253521,71
mixtral,gsm8k,attn_entropy_norm_mean,0.0003487206089143512,0.0012979057419328366,0.5915492957746479,71
mixtral,gsm8k,attn_entropy_norm_std,-0.00016068886236742316,-0.00027175692493958126,0.4225352112676056,71
mixtral,gsm8k,collapsed_rate_mean,-8.57245407995754e-05,-0.0001760400741209582,0.36619718309859156,71
mixtral,gsm8k,collapsed_rate_mean_zscore,-0.0326016711139772,-0.06694933032992134,0.36619718309859156,71
mixtral,gsm8k,compound_density_per_100t,-0.01050091711984702,-0.010442804420967344,0.4507042253521127,71
mixtral,gsm8k,concentration_max_mean,-0.0006035772003902708,-0.000505218290988152,0.352112676056338,71
mixtral,gsm8k,concentration_min_mean,-0.0004126555737639431,-0.00046060877433329317,0.43661971830985913,71
mixtral,gsm8k,cs_attention_bottleneck,0.0,0.0,0.0,71
mixtral,gsm8k,cs_confident_confusion,0.0,0.0,0.0,71
mixtral,gsm8k,cs_confident_repetition_risk,-0.034289067739771965,0.0,0.11267605633802817,71
mixtral,gsm8k,cs_context_loss,0.0,0.0,0.0,71
mixtral,gsm8k,cs_degenerating_generation,0.0,0.0,0.0,71
mixtral,gsm8k,early10_entropy_mean,-0.00593785226331047,-0.0010963094989770994,0.4788732394366197,71
mixtral,gsm8k,early10_entropy_slope,-0.004463370010462144,-0.001041120950337246,0.4788732394366197,71
mixtral,gsm8k,early10_margin_mean,-0.0008915771020040338,-0.002501211208956633,0.4788732394366197,71
mixtral,gsm8k,early10_margin_slope,-0.001536408786833053,-3.317702900279551e-05,0.49295774647887325,71
mixtral,gsm8k,early10_surprisal_mean,0.02568780585611762,0.006438798419522551,0.5211267605633803,71
mixtral,gsm8k,early10_surprisal_slope,0.01795614341921148,0.013131552835642948,0.5633802816901409,71
mixtral,gsm8k,early25p_entropy_mean,0.030066075282002502,0.0198235229624949,0.5633802816901409,71
mixtral,gsm8k,early25p_entropy_slope,0.00154088220422204,0.001976724050540778,0.5915492957746479,71
mixtral,gsm8k,early25p_margin_mean,-0.0126808230022858,-0.00938348806980438,0.4225352112676056,71
