model,dataset,signal,pp_easy,pp_medium,pp_hard,pp_range,best_band
mixtral,gsm8k,margin_std,0.6,0.6313858695652175,0.5945153148236578,0.03687055474155965,medium
mixtral,gsm8k,perplexity_mean,0.6333333333333333,0.6582880434782609,0.5780066853127772,0.08028135816548365,medium
mixtral,gsm8k,risk_score,0.5083333333333333,0.5175611413043478,0.5016031107169656,0.01595803058738221,medium
mixtral,gsm8k,surprisal_mean,0.625,0.6595448369565218,0.5910362234804557,0.06850861347606607,medium
mixtral,humaneval,collapsed_rate_mean,,0.5984848484848485,0.5147575282074274,0.08372732027742114,medium
mixtral,humaneval,compound_density_per_100t,,0.6420454545454546,0.5130389299858029,0.12900652455965167,medium
mixtral,humaneval,concentration_min_mean,,0.5303030303030303,0.5408674117483802,0.01056438144534988,hard
mixtral,humaneval,early10_entropy_mean,,0.5416666666666667,0.7469230687119053,0.20525640204523854,hard
mixtral,humaneval,early10_surprisal_mean,,0.8560606060606061,0.797306817817914,0.05875378824269206,medium
mixtral,humaneval,entropy_mean,,0.5378787878787878,0.5619602694249635,0.02408148154617562,hard
mixtral,humaneval,entropy_std,,0.5037878787878788,0.5653654422988653,0.06157756351098653,hard
mixtral,humaneval,focused_head_rate,,0.5454545454545454,0.5517981234188363,0.0063435779642908585,hard
mixtral,humaneval,hidden_max_abs_last_layer_mean,,0.5681818181818181,0.5032397177656088,0.06494210041620929,medium
mixtral,humaneval,l2_norm_slope,,0.6174242424242424,0.5604658361887683,0.0569584062354741,medium
mixtral,humaneval,margin_mean,,0.6590909090909091,0.5658030977466082,0.09328781134430086,medium
mixtral,humaneval,margin_std,,0.6439393939393939,0.5677885590461246,0.07615083489326935,medium
mixtral,humaneval,perplexity_mean,,0.5265151515151514,0.5798934682593055,0.053378316744154164,hard
mixtral,humaneval,risk_score,,0.5965909090909092,0.5132577577096743,0.08333315138123487,medium
mixtral,humaneval,surprisal_mean,,0.6856060606060606,0.5776731674512441,0.10793289315481647,medium
qwen,gsm8k,collapsed_rate_mean,0.710843373493976,0.5995929545625287,0.5346901858693364,0.1761531876246396,easy
qwen,gsm8k,compound_density_per_100t,0.6876075731497417,0.6112477035397927,0.5315556746616642,0.15605189848807755,easy
qwen,gsm8k,concentration_min_mean,0.693631669535284,0.6211745582942337,0.5340058574682721,0.15962581206701187,easy
qwen,gsm8k,early10_entropy_mean,0.6996557659208261,0.5479610165208542,0.5351304530923987,0.16452531282842742,easy
qwen,gsm8k,early10_surprisal_mean,0.5421686746987953,0.5310577034714965,0.5026559598782565,0.03951271482053875,easy
qwen,gsm8k,entropy_mean,0.6351118760757315,0.5013761687189678,0.5624605195153233,0.13373570735676366,easy
qwen,gsm8k,entropy_std,0.576592082616179,0.5306479261854515,0.5674374533412454,0.04594415643072747,easy
qwen,gsm8k,focused_head_rate,0.7142857142857143,0.5922408670887374,0.5548467678643212,0.1594389464213931,easy
qwen,gsm8k,hidden_max_abs_last_layer_mean,0.5025817555938037,0.5251705697953162,0.567485308474187,0.0649035528803833,hard
qwen,gsm8k,l2_norm_slope,0.6385542168674698,0.5755800056002895,0.5324362091077889,0.10611800775968094,easy
qwen,gsm8k,margin_mean,0.6867469879518072,0.5211752412563772,0.5535881778679581,0.16557174669543007,easy
qwen,gsm8k,margin_std,0.7039586919104992,0.5232992535223773,0.5487739514940373,0.18065943838812193,easy
qwen,gsm8k,perplexity_mean,0.6092943201376937,0.5156500775162033,0.5668631917459466,0.0936442426214904,easy
qwen,gsm8k,risk_score,0.5628227194492255,0.5134406949822772,0.5555980934515036,0.04938202446694828,easy
