model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
mistral7b,gsm8k,hard,0.67,1.01,early10_entropy_mean,0.5521353646353646,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,risk_score,0.5126123876123876,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,concentration_min_mean,0.555944055944056,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,focused_head_rate,0.5626873126873126,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,entropy_std,0.6075174825174825,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,margin_std,0.6033966033966034,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,perplexity_mean,0.6187562437562438,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,collapsed_rate_mean,0.5028721278721279,199,0.2814070351758794
mistral7b,gsm8k,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5158591408591409,199,0.2814070351758794
mistral7b,humaneval,medium,0.33,0.67,entropy_mean,0.6783333333333333,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,surprisal_mean,0.7216666666666667,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,margin_mean,0.73,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,l2_norm_slope,0.545,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,compound_density_per_100t,0.5466666666666667,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,early10_surprisal_mean,0.8350000000000001,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,early10_entropy_mean,0.6399999999999999,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,risk_score,0.5083333333333333,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,concentration_min_mean,0.5050000000000001,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,focused_head_rate,0.5033333333333333,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,entropy_std,0.615,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,margin_std,0.6916666666666667,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,perplexity_mean,0.635,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,collapsed_rate_mean,0.5316666666666667,70,0.14285714285714285
mistral7b,humaneval,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.6316666666666666,70,0.14285714285714285
mistral7b,humaneval,hard,0.67,1.01,entropy_mean,0.5230640604278383,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,surprisal_mean,0.5326140229487402,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,margin_mean,0.5097445655307618,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,l2_norm_slope,0.5957951334832496,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,compound_density_per_100t,0.5884218416652252,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,early10_surprisal_mean,0.7000050452632187,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,early10_entropy_mean,0.5044938880239866,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,risk_score,0.5000576601510697,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,concentration_min_mean,0.5597503315458686,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,focused_head_rate,0.5201089776855216,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,entropy_std,0.5241379807415095,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,margin_std,0.5020397278440869,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,perplexity_mean,0.5245488093178804,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,collapsed_rate_mean,0.5717076053739261,1570,0.05987261146496815
