model,dataset,signal,correlation,p_value,raw_auroc,predictive_power,auroc_oriented,direction,n,missing_rate,class_balance,p_value_fdr
mixtral,gsm8k,hidden_std_last_layer_mean_zscore,-0.024414235151722502,0.5021195142549519,0.48658480365449897,0.513415196345501,0.513415196345501,lower_better,758,0.0,0.7058047493403694,0.598289734296416
mixtral,gsm8k,high_entropy_frac,-0.0753592748245631,0.03805121436850218,0.49551569506726456,0.5044843049327354,0.5044843049327354,lower_better,758,0.0,0.7058047493403694,0.06744968683950935
mixtral,gsm8k,high_entropy_steps,-0.0796670176490484,0.02828984186125572,0.49551569506726456,0.5044843049327354,0.5044843049327354,lower_better,758,0.0,0.7058047493403694,0.05301138115542071
mixtral,gsm8k,l2_norm_cross_layer_max,-0.17090938017908586,2.2172795416729924e-06,0.3928460668035707,0.6071539331964293,0.6071539331964293,lower_better,758,0.0,0.7058047493403694,9.62805277491561e-06
mixtral,gsm8k,l2_norm_cross_layer_max_zscore,-0.17090938017908588,2.2172795416729924e-06,0.3928460668035707,0.6071539331964293,0.6071539331964293,lower_better,758,0.0,0.7058047493403694,9.62805277491561e-06
mixtral,gsm8k,l2_norm_last_layer_mean,-0.024514313547042896,0.5003681506133643,0.48640878420854117,0.5135912157914588,0.5135912157914588,lower_better,758,0.0,0.7058047493403694,0.598289734296416
mixtral,gsm8k,l2_norm_last_layer_mean_zscore,-0.02451431354704288,0.5003681506133643,0.48640878420854117,0.5135912157914588,0.5135912157914588,lower_better,758,0.0,0.7058047493403694,0.598289734296416
mixtral,gsm8k,l2_norm_slope,0.05424200025685143,0.1356955181212451,0.5085453250073341,0.5085453250073341,0.5085453250073341,higher_better,758,0.0,0.7058047493403694,0.20512850519730277
mixtral,gsm8k,late50p_entropy_mean,-0.22345676681268511,4.944971221739318e-10,0.3517413352332258,0.6482586647667742,0.6482586647667742,lower_better,758,0.0,0.7058047493403694,4.2097320795596565e-09
mixtral,gsm8k,late50p_margin_mean,0.20993446441506697,5.363439227934464e-09,0.6391643267256192,0.6391643267256192,0.6391643267256192,higher_better,758,0.0,0.7058047493403694,3.813346352168789e-08
mixtral,gsm8k,late50p_surprisal_mean,-0.20512146457157998,1.2069198487564814e-08,0.3596873559364654,0.6403126440635346,0.6403126440635346,lower_better,758,0.0,0.7058047493403694,7.655658256327877e-08
mixtral,gsm8k,margin_diff_std,-0.15398488534483876,2.0635227779036773e-05,0.40592598801391394,0.5940740119860861,0.5940740119860861,lower_better,758,0.0,0.7058047493403694,7.295624247561089e-05
mixtral,gsm8k,margin_early_late_delta,0.09698033042702232,0.007541477796815031,0.5610661749298017,0.5610661749298017,0.5610661749298017,higher_better,758,0.0,0.7058047493403694,0.017551568829278146
mixtral,gsm8k,margin_mean,0.20996229935276972,5.338037758761606e-09,0.6317757009345795,0.6317757009345795,0.6317757009345795,higher_better,758,0.0,0.7058047493403694,3.813346352168789e-08
mixtral,gsm8k,margin_min,0.07830601679100235,0.031110344714137445,0.5363438246511044,0.5363438246511044,0.5363438246511044,higher_better,758,0.0,0.7058047493403694,0.05685986731651674
mixtral,gsm8k,margin_range,-0.07830601679100237,0.031110344714137445,0.4636561753488957,0.5363438246511043,0.5363438246511043,lower_better,758,0.0,0.7058047493403694,0.05685986731651674
mixtral,gsm8k,margin_slope,0.09052565441139579,0.012654688457724434,0.5744939440928712,0.5744939440928712,0.5744939440928712,higher_better,758,0.0,0.7058047493403694,0.027111203417707643
mixtral,gsm8k,margin_std,-0.19203615171636257,9.927734883705891e-08,0.37842504505259633,0.6215749549474037,0.6215749549474037,lower_better,758,0.0,0.7058047493403694,5.489952538254455e-07
mixtral,gsm8k,max_compound_severity,0.06198417644003849,0.08812737364320535,0.5132601315954904,0.5132601315954904,0.5132601315954904,higher_better,758,0.0,0.7058047493403694,0.13906929450525332
mixtral,gsm8k,n_compound_signals,0.06198417644003851,0.08812737364320535,0.5132601315954904,0.5132601315954904,0.5132601315954904,higher_better,758,0.0,0.7058047493403694,0.13906929450525332
mixtral,gsm8k,n_warning_signals,-0.06798367156320306,0.06137438203756461,0.46423871589623233,0.5357612841037677,0.5357612841037677,lower_better,758,0.0,0.7058047493403694,0.10234336386160903
mixtral,gsm8k,perplexity_max,-0.10290492640535821,0.004568040351617023,0.44074850173923974,0.5592514982607603,0.5592514982607603,lower_better,758,0.0,0.7058047493403694,0.011260603552971617
mixtral,gsm8k,perplexity_mean,-0.20934043875406194,5.934373708229518e-09,0.3667658522274842,0.6332341477725159,0.6332341477725159,lower_better,758,0.0,0.7058047493403694,4.0670832586882176e-08
