model,signal,correlation,p_value,raw_auroc,predictive_power,direction,n
mistral7b,concentration_min_mean,-0.10495608674537871,2.186757620767756e-10,0.4741152824522546,0.5258847175477455,lower_more_failure,3640
mistral7b,cs_confident_repetition_risk,0.06450857988864903,9.832913120577294e-05,0.5112854789510606,0.5112854789510606,higher_more_failure,3640
mistral7b,early10_entropy_mean,-0.045314853343288414,0.0062490272502604746,0.5097552632201212,0.5097552632201212,higher_more_failure,3640
mistral7b,early10_entropy_slope,0.5279591142510838,1.8481448783430937e-260,0.8241360121698418,0.8241360121698418,higher_more_failure,3640
mistral7b,early10_margin_mean,0.08689795988575734,1.5135969199210393e-07,0.5320982730490025,0.5320982730490025,higher_more_failure,3640
mistral7b,early10_margin_slope,-0.5235102687102355,2.3844849398985582e-255,0.1854229887050626,0.8145770112949374,lower_more_failure,3640
mistral7b,early10_surprisal_mean,-0.11238842971080464,1.0469981009712134e-11,0.4404878971553783,0.5595121028446217,lower_more_failure,3640
mistral7b,early10_surprisal_slope,0.42402532756697353,8.241867163773667e-159,0.7655790527386086,0.7655790527386086,higher_more_failure,3640
mistral7b,early25p_entropy_mean,-0.017235244255366416,0.29854254183929085,0.5227728953031031,0.5227728953031031,higher_more_failure,3640
mistral7b,early25p_entropy_slope,0.1599945833858259,2.6758016762148606e-22,0.6280981469366522,0.6280981469366522,higher_more_failure,3640
mistral7b,early25p_margin_mean,-0.052483100558489586,0.0015374114125640609,0.44963655997036367,0.5503634400296363,lower_more_failure,3640
mistral7b,early25p_margin_slope,-0.14720113657072334,4.392404749898294e-19,0.3711127050310946,0.6288872949689054,lower_more_failure,3640
mistral7b,early25p_surprisal_mean,-0.04874019878594706,0.003267830432768421,0.5003028272812542,0.5003028272812542,higher_more_failure,3640
mistral7b,early25p_surprisal_slope,0.1367315921297399,1.1766045050860795e-16,0.6366151445168715,0.6366151445168715,higher_more_failure,3640
mistral7b,early50p_entropy_mean,0.02015041807551571,0.22420244520317423,0.5390319300707017,0.5390319300707017,higher_more_failure,3640
mistral7b,early50p_entropy_slope,0.18782112935751843,2.972366913751869e-30,0.613663957878475,0.613663957878475,higher_more_failure,3640
mistral7b,early50p_margin_mean,-0.09906381439839673,2.105605048970402e-09,0.4239370699371803,0.5760629300628197,lower_more_failure,3640
mistral7b,early50p_margin_slope,-0.16341329984517775,3.3232701193145845e-23,0.3956270542519567,0.6043729457480433,lower_more_failure,3640
mistral7b,early50p_surprisal_mean,-0.010000478230421174,0.5464017019010502,0.520010719549779,0.520010719549779,higher_more_failure,3640
mistral7b,early50p_surprisal_slope,0.16158595191287609,1.0191482099250019e-22,0.6081093394077448,0.6081093394077448,higher_more_failure,3640
mistral7b,entropy_diff_std,0.016776884902424346,0.3115794115710661,0.5161775346611912,0.5161775346611912,higher_more_failure,3640
mistral7b,entropy_early_late_delta,0.17081168938566546,3.11271832160257e-25,0.6049735558165381,0.6049735558165381,higher_more_failure,3640
mistral7b,entropy_max,-0.16193821946029935,8.219765763276168e-23,0.4123985780832499,0.58760142191675,lower_more_failure,3640
