signal,outcome,n,mean,median,std,p10,p90
margin_slope,format_failure,3137,0.0005409412380547233,0.00046845102375815483,0.001100796786290881,2.4983135615629976e-06,0.0012060226194366243
margin_std,correct,3423,0.2502374445824729,0.253196044552583,0.05161942667396198,0.18197233054042378,0.31487410966880197
margin_std,incorrect,7980,0.24535268753644912,0.2481231105144393,0.0530531226137052,0.1760203411146476,0.3130889519482104
margin_std,format_failure,3137,0.25495106911108806,0.25583930998464866,0.03865161532441639,0.20474199116994135,0.30226489603385026
max_compound_severity,correct,3423,0.3693835816535203,0.4,0.1063602703919646,0.4,0.4
max_compound_severity,incorrect,7980,0.371265664160401,0.4,0.1034201546412051,0.4,0.4
max_compound_severity,format_failure,3137,0.3882690468600573,0.4,0.06749976597760383,0.4,0.4
mid_layer_anomaly,correct,3423,0.29944493134677186,0.0,0.4580818344863396,0.0,1.0
mid_layer_anomaly,incorrect,7980,0.4446115288220551,0.0,0.49695378559085146,0.0,1.0
mid_layer_anomaly,format_failure,3137,0.8565508447561364,1.0,0.35058618921049123,0.0,1.0
n_compound_signals,correct,3423,0.9234589541338007,1.0,0.2659006759799115,1.0,1.0
n_compound_signals,incorrect,7980,0.9280701754385965,1.0,0.25838786997945484,1.0,1.0
n_compound_signals,format_failure,3137,0.9706726171501434,1.0,0.1687494149440096,1.0,1.0
n_warning_signals,correct,3423,0.7248028045574058,1.0,0.7623451624209283,0.0,2.0
n_warning_signals,incorrect,7980,0.8964912280701754,1.0,0.7886351030599729,0.0,2.0
n_warning_signals,format_failure,3137,1.267134204654128,1.0,0.6293576496554214,1.0,2.0
nan_detected,correct,3423,0.0,0.0,0.0,0.0,0.0
nan_detected,incorrect,7980,0.0,0.0,0.0,0.0,0.0
nan_detected,format_failure,3137,0.0,0.0,0.0,0.0,0.0
perplexity_max,correct,3423,9.815831041950736,7.882647992070064,6.123587252891506,4.592046462365927,17.91582836390008
perplexity_max,incorrect,7980,10.696761585520628,9.0113801162042,6.300103307129165,4.751941307127765,18.900467294358236
perplexity_max,format_failure,3137,8.118854332338515,7.289403398214709,3.5072385009568547,4.848422046526506,12.394309114063619
perplexity_mean,correct,3423,1.3648536161413296,1.3121300613779243,0.2549528147961981,1.146771122951962,1.6319241402539506
perplexity_mean,incorrect,7980,1.380052908515355,1.3209715254221086,0.26718910437035104,1.1450452924656498,1.676982210230876
perplexity_mean,format_failure,3137,1.3477403729173385,1.3133065456031503,0.173913393222856,1.1810008727075547,1.5432358514815299
repetition_detected,correct,3423,0.0017528483786152498,0.0,0.04183643427125585,0.0,0.0
repetition_detected,incorrect,7980,0.0008771929824561404,0.0,0.029606306020852666,0.0,0.0
repetition_detected,format_failure,3137,0.0,0.0,0.0,0.0,0.0
risk_score,correct,3423,0.5752241704918739,0.4324716359261894,0.2893075868538033,0.4,1.0
risk_score,incorrect,7980,0.6693424203396805,0.5075660957610633,0.30006985840619804,0.4,1.0
risk_score,format_failure,3137,0.9098129287889059,1.0,0.21459563089815226,0.4353639210599555,1.0
risk_score_is_one,correct,3423,0.28805141688577274,0.0,0.45292132577082045,0.0,1.0
risk_score_is_one,incorrect,7980,0.42155388471177946,0.0,0.49383880770417676,0.0,1.0
risk_score_is_one,format_failure,3137,0.8396557220274147,1.0,0.3669835449324785,0.0,1.0
risk_score_is_zero,correct,3423,0.0017528483786152498,0.0,0.04183643427125586,0.0,0.0
risk_score_is_zero,incorrect,7980,0.0020050125313283208,0.0,0.04473525721886758,0.0,0.0
