model,signal,best_outcome,best_pp,mean_other_pp,specificity_gap,pp_correct,pp_incorrect,pp_format_failure,dir_correct,dir_incorrect,dir_format_failure
llama,late50p_margin_mean,format_failure,0.575160097089769,0.5231771096512725,0.0519829874384965,0.5092719725236399,0.5370822467789053,0.575160097089769,lower,higher,lower
llama,late50p_surprisal_mean,format_failure,0.5559467483502125,0.5101512035144741,0.045795544835738444,0.5065709199257686,0.5137314871031795,0.5559467483502125,lower,lower,higher
llama,margin_diff_std,format_failure,0.6481718410804505,0.5938239086595387,0.05434793242091174,0.565709350306372,0.6219384670127053,0.6481718410804505,higher,lower,higher
llama,margin_early_late_delta,format_failure,0.6444201823786654,0.6049876327949336,0.03943254958373177,0.5773875283933767,0.6325877371964905,0.6444201823786654,higher,lower,higher
llama,margin_mean,format_failure,0.6638805853572396,0.6014796163422289,0.06240096901501069,0.570417839937333,0.6325413927471248,0.6638805853572396,lower,higher,lower
llama,margin_min,format_failure,0.572197568680654,0.5131013911567043,0.05909617752394969,0.5083732328436636,0.5178295494697449,0.572197568680654,higher,higher,lower
llama,margin_range,format_failure,0.572197568680654,0.5131013911567043,0.05909617752394969,0.5083732328436636,0.5178295494697449,0.572197568680654,lower,lower,higher
llama,margin_slope,incorrect,0.6839280559965363,0.6328860755749994,0.05104198042153685,0.6305116532550539,0.6839280559965363,0.635260497894945,higher,lower,higher
llama,margin_std,format_failure,0.6576609312161946,0.6022486687773805,0.05541226243881414,0.5722983960744259,0.6321989414803351,0.6576609312161946,higher,lower,higher
llama,max_compound_severity,incorrect,0.5231367665135537,0.5134807389430616,0.00965602757049211,0.5199917466998127,0.5231367665135537,0.5069697311863103,lower,higher,lower
llama,n_compound_signals,incorrect,0.5231367665135537,0.5134807389430616,0.00965602757049211,0.5199917466998127,0.5231367665135537,0.5069697311863103,lower,higher,lower
llama,n_warning_signals,incorrect,0.52161330937937,0.5125086125381979,0.0091046968411721,0.5187687054916167,0.52161330937937,0.5062485195847791,higher,lower,higher
llama,perplexity_max,incorrect,0.6471100347863303,0.6027037972340203,0.04440623755230999,0.608343294994156,0.6471100347863303,0.5970642994738848,lower,higher,lower
llama,perplexity_mean,format_failure,0.5944498543568567,0.5358443437234008,0.05860551063345587,0.5182725105590583,0.5534161768877432,0.5944498543568567,higher,lower,higher
llama,repetition_detected,correct,0.5014242380575622,0.5010711562059365,0.00035308185162574723,0.5014242380575622,0.5010755644691726,0.5010667479427005,higher,lower,lower
llama,risk_score,format_failure,0.5730953688791462,0.517174151656662,0.05592121722248422,0.5037292410015011,0.530619062311823,0.5730953688791462,higher,lower,higher
llama,risk_score_is_one,format_failure,0.5012191405059433,0.5009502141101165,0.0002689263958267629,0.5011564287377979,0.5007439994824351,0.5012191405059433,higher,lower,lower
llama,risk_score_is_zero,format_failure,0.5012191405059433,0.5002224839744183,0.0009966565315250309,0.5000567943058271,0.5003881736430096,0.5012191405059433,higher,higher,lower
llama,surprisal_diff_std,format_failure,0.5729094414621536,0.5179994003749262,0.05491004108722741,0.5045760199335929,0.5314227808162595,0.5729094414621536,higher,lower,higher
llama,surprisal_early_late_delta,format_failure,0.6293091225838987,0.5842047678284217,0.04510435475547703,0.5596353805565902,0.6087741551002532,0.6293091225838987,lower,higher,lower
llama,surprisal_max,incorrect,0.5919448992490333,0.5575176563867783,0.03442724286225496,0.575087661104752,0.5919448992490333,0.5399476516688047,lower,higher,lower
llama,surprisal_mean,format_failure,0.6296750345324096,0.5693383058614213,0.06033672867098827,0.5449196133999519,0.5937569983228907,0.6296750345324096,higher,lower,higher
llama,surprisal_p90,format_failure,0.6488247094990233,0.5879271253929432,0.06089758410608004,0.5597806893922436,0.616073561393643,0.6488247094990233,higher,lower,higher
llama,surprisal_range,incorrect,0.5919448992490333,0.5575176563867783,0.03442724286225496,0.575087661104752,0.5919448992490333,0.5399476516688047,lower,higher,lower
llama,surprisal_slope,incorrect,0.6577306896054066,0.6161622821507577,0.04156840745464885,0.6094880929831542,0.6577306896054066,0.6228364713183612,lower,higher,lower
llama,surprisal_std,format_failure,0.5766891166240335,0.5209244950445882,0.055764621579445395,0.5067761950896489,0.5350727949995273,0.5766891166240335,higher,lower,higher
llama,surprisal_volatility,format_failure,0.6429900666657666,0.6105899263251331,0.03240014034063354,0.5804453543595639,0.6407344982907022,0.6429900666657666,lower,higher,lower
llama,topk_mass_mean,incorrect,0.634305281152179,0.5892909993660167,0.04501428178616229,0.603854883298275,0.634305281152179,0.5747271154337584,higher,lower,higher
llama,topk_mass_std,incorrect,0.6519769795611647,0.6052390538317661,0.04673792572939861,0.612880646464207,0.6519769795611647,0.5975974611993252,lower,higher,lower
llama,warning_density_per_100t,incorrect,0.5373713552734385,0.5191483587343431,0.018222996539095426,0.5351928332836383,0.5373713552734385,0.5031038841850479,higher,lower,higher
mistral7b,attn_entropy_norm_mean,correct,0.5858710117865271,0.5556438335903104,0.030227178196216675,0.5858710117865271,0.5724840004640348,0.5388036667165861,higher,lower,higher
mistral7b,attn_entropy_norm_std,format_failure,0.5526038259334284,0.5271661458360187,0.025437680097409654,0.5066678130587283,0.5476644786133091,0.5526038259334284,lower,lower,higher
mistral7b,collapsed_rate_mean,incorrect,0.7085738600934837,0.6179194372327088,0.09065442286077485,0.5318215655453336,0.7085738600934837,0.7040173089200842,lower,higher,lower
mistral7b,collapsed_rate_mean_zscore,incorrect,0.7085738600934837,0.6179194372327088,0.09065442286077485,0.5318215655453336,0.7085738600934837,0.7040173089200842,lower,higher,lower
mistral7b,compound_density_per_100t,format_failure,0.6438918271314957,0.5845733775720894,0.05931844955940635,0.5530955892565427,0.616051165887636,0.6438918271314957,higher,higher,lower
mistral7b,concentration_max_mean,incorrect,0.8317009536883522,0.7023431332812285,0.12935782040712362,0.6024922269474151,0.8317009536883522,0.802194039615042,higher,lower,higher
mistral7b,concentration_min_mean,correct,0.5665565101474069,0.5142216268071866,0.052334883340220295,0.5665565101474069,0.5025585360666277,0.5258847175477455,higher,lower,lower
mistral7b,cs_confident_repetition_risk,format_failure,0.5112854789510606,0.5086429107494915,0.002642568201569051,0.5109899315912583,0.5062958899077248,0.5112854789510606,lower,lower,higher
mistral7b,early10_entropy_mean,correct,0.5211163948027286,0.5052109301004971,0.01590546470223153,0.5211163948027286,0.500666596980873,0.5097552632201212,lower,lower,higher
mistral7b,early10_entropy_slope,incorrect,0.8462671475389234,0.7054585781860003,0.14080856935292307,0.5867811442021589,0.8462671475389234,0.8241360121698418,higher,lower,higher
mistral7b,early10_margin_mean,incorrect,0.5445212163030921,0.5327897675251472,0.011731448777944964,0.5334812620012919,0.5445212163030921,0.5320982730490025,higher,lower,higher
mistral7b,early10_margin_slope,incorrect,0.8396594841962287,0.7037827872821945,0.13587669691403426,0.5929885632694514,0.8396594841962287,0.8145770112949374,lower,higher,lower
mistral7b,early10_surprisal_mean,format_failure,0.5595121028446217,0.5343170195702014,0.025195083274420327,0.5197127993938819,0.548921239746521,0.5595121028446217,higher,higher,lower
