model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
llama,incorrect,early25p_entropy_mean,0.3286941191693084,0.6713058808306915,lower,3640,1508
llama,incorrect,early25p_entropy_slope,0.6395232306995585,0.6395232306995585,higher,3640,1508
llama,incorrect,early25p_margin_mean,0.6974805415519978,0.6974805415519978,higher,3640,1508
llama,incorrect,early25p_margin_slope,0.3720849652385526,0.6279150347614474,lower,3640,1508
llama,incorrect,early25p_surprisal_mean,0.34890092116591437,0.6510990788340856,lower,3640,1508
llama,incorrect,early25p_surprisal_slope,0.6034355233625791,0.6034355233625791,higher,3640,1508
llama,incorrect,early50p_entropy_mean,0.3538065899940779,0.6461934100059221,lower,3640,1508
llama,incorrect,early50p_entropy_slope,0.6539161370750619,0.6539161370750619,higher,3640,1508
llama,incorrect,early50p_margin_mean,0.6811660512289677,0.6811660512289677,higher,3640,1508
llama,incorrect,early50p_margin_slope,0.34972205771843473,0.6502779422815652,lower,3640,1508
llama,incorrect,early50p_surprisal_mean,0.3667898786210878,0.6332101213789122,lower,3640,1508
llama,incorrect,early50p_surprisal_slope,0.6235962919463922,0.6235962919463922,higher,3640,1508
llama,incorrect,entropy_diff_std,0.47486575661512587,0.5251342433848741,lower,3640,1508
llama,incorrect,entropy_early_late_delta,0.6242314286283038,0.6242314286283038,higher,3640,1508
llama,incorrect,entropy_max,0.6471100347863303,0.6471100347863303,higher,3640,1508
llama,incorrect,entropy_mean,0.39881233794994553,0.6011876620500545,lower,3640,1508
llama,incorrect,entropy_p90,0.386779732608079,0.6132202673919209,lower,3640,1508
llama,incorrect,entropy_range,0.6471100347863303,0.6471100347863303,higher,3640,1508
llama,incorrect,entropy_range_approx,0.6694157115770301,0.6694157115770301,higher,3640,1508
llama,incorrect,entropy_slope,0.6736927754913135,0.6736927754913135,higher,3640,1508
llama,incorrect,entropy_std,0.46346128963228017,0.5365387103677198,lower,3640,1508
llama,incorrect,failure_risk,0.4696930628891067,0.5303069371108933,lower,3640,1508
llama,incorrect,failure_risk_is_zero,0.521284854758362,0.521284854758362,higher,3640,1508
llama,incorrect,focused_head_mean,0.7567804417714652,0.7567804417714652,higher,3640,1508
llama,incorrect,focused_head_mean_zscore,0.7567804417714652,0.7567804417714652,higher,3640,1508
llama,incorrect,focused_head_rate,0.7567804417714652,0.7567804417714652,higher,3640,1508
llama,incorrect,hidden_max_abs_last_layer_mean,0.5982922225927013,0.5982922225927013,higher,3640,1508
llama,incorrect,hidden_max_abs_last_layer_mean_zscore,0.5982922225927013,0.5982922225927013,higher,3640,1508
llama,incorrect,hidden_std_last_layer_mean,0.38263439268242916,0.6173656073175708,lower,3640,1508
llama,incorrect,hidden_std_last_layer_mean_zscore,0.38263439268242916,0.6173656073175708,lower,3640,1508
llama,incorrect,high_entropy_frac,0.6123901107787859,0.6123901107787859,higher,3640,1508
llama,incorrect,high_entropy_steps,0.6183399293822566,0.6183399293822566,higher,3640,1508
llama,incorrect,l2_norm_cross_layer_max,0.5002087055404323,0.5002087055404323,higher,3640,1508
llama,incorrect,l2_norm_cross_layer_max_zscore,0.5002087055404323,0.5002087055404323,higher,3640,1508
llama,incorrect,l2_norm_last_layer_mean,0.38253486097909334,0.6174651390209067,lower,3640,1508
llama,incorrect,l2_norm_last_layer_mean_zscore,0.38253486097909334,0.6174651390209067,lower,3640,1508
llama,incorrect,l2_norm_slope,0.47352767727840506,0.5264723227215949,lower,3640,1508
llama,incorrect,late50p_entropy_mean,0.4799815306482998,0.5200184693517003,lower,3640,1508
llama,incorrect,late50p_margin_mean,0.5370822467789053,0.5370822467789053,higher,3640,1508
llama,incorrect,late50p_surprisal_mean,0.4862685128968205,0.5137314871031795,lower,3640,1508
llama,incorrect,margin_diff_std,0.3780615329872948,0.6219384670127053,lower,3640,1508
llama,incorrect,margin_early_late_delta,0.36741226280350947,0.6325877371964905,lower,3640,1508
llama,incorrect,margin_mean,0.6325413927471248,0.6325413927471248,higher,3640,1508
llama,incorrect,margin_min,0.5178295494697449,0.5178295494697449,higher,3640,1508
llama,incorrect,margin_range,0.48217045053025515,0.5178295494697449,lower,3640,1508
llama,incorrect,margin_slope,0.3160719440034637,0.6839280559965363,lower,3640,1508
llama,incorrect,margin_std,0.36780105851966494,0.6321989414803351,lower,3640,1508
llama,incorrect,max_compound_severity,0.5231367665135537,0.5231367665135537,higher,3640,1508
llama,incorrect,n_compound_signals,0.5231367665135537,0.5231367665135537,higher,3640,1508
llama,incorrect,n_warning_signals,0.47838669062062994,0.52161330937937,lower,3640,1508
llama,incorrect,perplexity_max,0.6471100347863303,0.6471100347863303,higher,3640,1508
llama,incorrect,perplexity_mean,0.4465838231122568,0.5534161768877432,lower,3640,1508
llama,incorrect,repetition_detected,0.49892443553082744,0.5010755644691726,lower,3640,1508
llama,incorrect,risk_score,0.469380937688177,0.530619062311823,lower,3640,1508
llama,incorrect,risk_score_is_one,0.4992560005175649,0.5007439994824351,lower,3640,1508
llama,incorrect,risk_score_is_zero,0.5003881736430096,0.5003881736430096,higher,3640,1508
llama,incorrect,surprisal_diff_std,0.4685772191837405,0.5314227808162595,lower,3640,1508
llama,incorrect,surprisal_early_late_delta,0.6087741551002532,0.6087741551002532,higher,3640,1508
llama,incorrect,surprisal_max,0.5919448992490333,0.5919448992490333,higher,3640,1508
llama,incorrect,surprisal_mean,0.4062430016771092,0.5937569983228907,lower,3640,1508
llama,incorrect,surprisal_p90,0.383926438606357,0.616073561393643,lower,3640,1508
llama,incorrect,surprisal_range,0.5919448992490333,0.5919448992490333,higher,3640,1508
llama,incorrect,surprisal_slope,0.6577306896054066,0.6577306896054066,higher,3640,1508
llama,incorrect,surprisal_std,0.46492720500047274,0.5350727949995273,lower,3640,1508
llama,incorrect,surprisal_volatility,0.6407344982907022,0.6407344982907022,higher,3291,1508
llama,incorrect,topk_mass_mean,0.36569471884782095,0.634305281152179,lower,3640,1508
llama,incorrect,topk_mass_std,0.6519769795611647,0.6519769795611647,higher,3640,1508
llama,incorrect,warning_density_per_100t,0.4626286447265615,0.5373713552734385,lower,3640,1508
llama,format_failure,attention_collapse_detected,0.49285877411856394,0.5071412258814361,lower,3640,359
llama,format_failure,attn_entropy_norm_mean,0.7145767943905954,0.7145767943905954,higher,3640,359
llama,format_failure,attn_entropy_norm_std,0.37995498688744767,0.6200450131125523,lower,3640,359
llama,format_failure,collapsed_rate_mean,0.30065651904822144,0.6993434809517786,lower,3640,359
llama,format_failure,collapsed_rate_mean_zscore,0.30065651904822144,0.6993434809517786,lower,3640,359
llama,format_failure,compound_density_per_100t,0.5188253632164255,0.5188253632164255,higher,3640,359
llama,format_failure,concentration_max_mean,0.41170357906032795,0.588296420939672,lower,3640,359
llama,format_failure,concentration_min_mean,0.39759516894349933,0.6024048310565007,lower,3640,359
llama,format_failure,cs_confident_repetition_risk,0.4930302688136897,0.5069697311863103,lower,3640,359
llama,format_failure,early10_entropy_mean,0.6799476007297863,0.6799476007297863,higher,3640,359
llama,format_failure,early10_entropy_slope,0.45758944679377084,0.5424105532062291,lower,3640,359
llama,format_failure,early10_margin_mean,0.3151325390808394,0.6848674609191606,lower,3640,359
llama,format_failure,early10_margin_slope,0.5017527267232034,0.5017527267232034,higher,3640,359
llama,format_failure,early10_surprisal_mean,0.6314086591237301,0.6314086591237301,higher,3640,359
llama,format_failure,early10_surprisal_slope,0.49422393981045587,0.5057760601895441,lower,3640,359
llama,format_failure,early25p_entropy_mean,0.7167654742125464,0.7167654742125464,higher,3640,359
llama,format_failure,early25p_entropy_slope,0.36824410656782236,0.6317558934321776,lower,3640,359
