dataset,signal,is_zscore,mixtral_mean,mixtral_std,mixtral_median,mixtral_n,dense_mean,dense_std,dense_median,dense_n,delta_mean,mann_whitney_u,mann_whitney_p,rank_biserial
humaneval,margin_mean,False,0.9079397250495241,0.041917205917126554,0.9109307341491236,1620,0.8821927758584845,0.06248432141099081,0.8955861709597035,4920,0.025746949191039592,4881345.0,4.237774829421939e-42,-0.2248682625715146
humaneval,collapsed_rate_mean,False,0.022215902570247515,0.0021920681143733295,0.022026750425534827,1620,0.011427149105083315,0.007474069384784858,0.01316072998046875,4920,0.0107887534651642,7559090.0,0.0,-0.8967906253136606
humaneval,focused_head_mean,False,4.08660438820392,0.39588685235128795,4.0358183713410485,1620,2.6571279456582286,2.040655740373869,1.7545689174107144,4920,1.4294764425456914,5362728.0,5.44989111332447e-97,-0.3456609454983439
humaneval,l2_norm_last_layer_mean,False,279.59993662250565,10.053002966835791,280.18292437908696,1620,268.7882744187699,94.4815083407769,306.7311434082694,4920,10.81166220373575,2817320.0,3.019479123860628e-70,0.2930543009133795
humaneval,risk_score,False,0.9838933477191092,0.06132446420641809,1.0,1620,0.6117363127495082,0.2853347911123821,0.44134762333347843,4920,0.37215703496960095,6586571.0,0.0,-0.6527579544313962
humaneval,high_entropy_frac,False,0.0002546766176952047,0.0013643596011025485,0.0,1620,0.0019821418765316153,0.006651590770867736,0.0,4920,-0.0017274652588364107,3114509.5,5.993016801437051e-74,0.21848100471745457
humaneval,n_compound_signals,False,0.9290123456790124,0.2568835169737963,1.0,1620,0.9392276422764227,0.23893656492353982,1.0,4920,-0.010215296597410384,3944490.0,0.14309114550611357,0.010215296597410384
humaneval,l2_norm_last_layer_mean_zscore,True,0.00982046816637971,0.866685647921534,0.060080785726200736,1620,-0.1361963244428806,1.1966774657640074,-0.06779305109653891,4920,0.14601679260926032,4266728.0,1.9442903619881128e-05,-0.07064338050787922
humaneval,l2_norm_cross_layer_max_zscore,True,-0.3239613461009931,1.1469936680419541,-0.43674729347965513,1620,0.33983635538069884,1.1918496758837946,0.34005071686062,4920,-0.6637977014816919,2578136.0,4.134448767826503e-101,0.3530723677607146
humaneval,focused_head_mean_zscore,True,0.8893900613604981,0.817414700334144,0.784528693753644,1620,0.4470396779852058,1.2008325332939804,0.2776006955627055,4920,0.44235038337529237,5226763.0,3.8020323220687986e-79,-0.3115434608049785
humaneval,collapsed_rate_mean_zscore,True,0.8599019614470538,0.8336595688662977,0.7879660145769009,1620,0.6103520175417632,1.0816807218816287,0.4861395754564918,4920,0.24954994390529062,4751446.0,3.0725940744320017e-31,-0.19227290976613465
humaneval,hidden_std_last_layer_mean_zscore,True,0.010310398907153339,0.8665179081243686,0.059637934233600524,1620,-0.13620910783905724,1.1967895912234716,-0.06769673799631071,4920,0.1465195067462106,4267891.0,1.7960981609089674e-05,-0.07093521027802874
humaneval,hidden_max_abs_last_layer_mean_zscore,True,0.7295027648063852,0.6998288406506745,0.7502237291092202,1620,0.4352058732007729,0.9967410060341813,0.5399796445915538,4920,0.2942968916056123,4625658.0,2.55941259628076e-22,-0.16070912375790414
