model,dataset,signal,predictive_power_in_confident,confident_correct_mean,confident_wrong_mean,delta,n_confident_correct,n_confident_wrong
mistral7b,humaneval,early50p_surprisal_mean,0.6840390879478827,0.2267044275057228,0.17097729522752478,-0.05572713227819803,21,307
mistral7b,humaneval,early50p_surprisal_slope,0.7544594384985265,-0.011046891696889858,-0.004114715366797299,0.006932176330092559,21,307
mistral7b,humaneval,entropy_diff_std,0.5093842097099426,0.507240535822189,0.503816553194246,-0.0034239826279429675,21,307
mistral7b,humaneval,entropy_early_late_delta,0.5062819916240111,-0.17908167746123943,-0.17598805960061464,0.0030936178606247866,21,307
mistral7b,humaneval,entropy_max,0.5238095238095238,2.764025184544759,2.7382705437177073,-0.025754640827051922,21,307
mistral7b,humaneval,entropy_mean,0.5082984333798666,0.1303183284072788,0.12706691117784344,-0.003251417229435366,21,307
mistral7b,humaneval,entropy_p90,0.5000775554521482,0.4384685632677271,0.41168690104554695,-0.026781662222180147,21,307
mistral7b,humaneval,entropy_range,0.5238095238095238,2.764025184544759,2.7382705437177073,-0.025754640827051922,21,307
mistral7b,humaneval,entropy_range_approx,0.5245850783310066,2.63370685613748,2.6112036325398633,-0.022503223597616806,21,307
mistral7b,humaneval,entropy_slope,0.5315650690243525,-0.0019994153502190227,-0.0019966735096759204,2.7418405431022495e-06,21,307
mistral7b,humaneval,entropy_std,0.505971769815418,0.4036038923958826,0.39624790772764085,-0.007355984668241777,21,307
mistral7b,humaneval,focused_head_mean,0.5646036916395223,0.8047758381636124,0.7511913191669304,-0.05358451899668204,21,307
mistral7b,humaneval,focused_head_mean_zscore,0.5646036916395223,0.44447304700474727,0.06501630822127957,-0.3794567387834677,21,307
mistral7b,humaneval,focused_head_rate,0.5646036916395223,0.025149244942612888,0.023474728723966574,-0.0016745162186463138,21,307
mistral7b,humaneval,hidden_max_abs_last_layer_mean,0.5624321389793703,98.12125859425917,99.25722610398678,1.1359675097276067,21,307
mistral7b,humaneval,hidden_max_abs_last_layer_mean_zscore,0.5624321389793703,0.7452427697736296,0.8288931313203015,0.08365036154667194,21,307
mistral7b,humaneval,hidden_std_last_layer_mean,0.5570032573289903,5.594095764555309,5.616947707091767,0.022851942536457948,21,307
mistral7b,humaneval,hidden_std_last_layer_mean_zscore,0.5570032573289903,-0.397871374112012,-0.10676576586332368,0.29110560824868836,21,307
mistral7b,humaneval,high_entropy_frac,0.548006824879789,0.0007029735046796085,0.00014005803810689742,-0.0005629154665727111,21,307
mistral7b,humaneval,high_entropy_steps,0.5451372731503024,0.14285714285714285,0.05537459283387622,-0.08748255002326663,21,307
