temperature,model,dataset,signal,direction,random_acc,signal_acc,lift,n_prompts
0.8,mixtral,gsm8k,surprisal_mean,lower_better,0.8003333333333331,0.84,0.03966666666666683,100
0.8,mixtral,gsm8k,margin_mean,higher_better,0.8003333333333331,0.85,0.04966666666666683,100
0.8,mixtral,gsm8k,risk_score,higher_better,0.8003333333333331,0.8094999999999999,0.009166666666666714,100
0.8,mixtral,humaneval,entropy_mean,higher_better,0.20952380952380958,0.2857142857142857,0.07619047619047613,21
0.8,mixtral,humaneval,surprisal_mean,higher_better,0.20952380952380958,0.3333333333333333,0.12380952380952374,21
0.8,mixtral,humaneval,margin_mean,lower_better,0.20952380952380958,0.19047619047619047,-0.01904761904761911,21
0.8,mixtral,humaneval,risk_score,higher_better,0.20952380952380958,0.20714285714285716,-0.002380952380952415,21
0.8,qwen,gsm8k,entropy_mean,lower_better,0.5701219512195121,0.5975609756097561,0.02743902439024399,82
0.8,qwen,gsm8k,surprisal_mean,lower_better,0.5701219512195121,0.5975609756097561,0.02743902439024399,82
0.8,qwen,gsm8k,margin_mean,higher_better,0.5701219512195121,0.5853658536585366,0.015243902439024477,82
0.8,qwen,gsm8k,risk_score,lower_better,0.5701219512195121,0.5853658536585366,0.015243902439024477,82
0.8,qwen,humaneval,entropy_mean,lower_better,0.418181818181818,0.45454545454545453,0.036363636363636556,33
0.8,qwen,humaneval,surprisal_mean,lower_better,0.418181818181818,0.48484848484848486,0.06666666666666686,33
0.8,qwen,humaneval,margin_mean,higher_better,0.418181818181818,0.3939393939393939,-0.024242424242424048,33
0.8,qwen,humaneval,risk_score,lower_better,0.418181818181818,0.4222222222222222,0.004040404040404242,33
