model,dataset,signal,direction,random_acc,signal_acc,oracle_acc,lift_vs_random,lift_vs_oracle,n_prompts,n_ties,tie_rate
mistral7b,gsm8k,early50p_margin_mean,higher_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,early50p_margin_slope,higher_better,0.7181286549707601,0.7105263157894737,1.0,-0.007602339181286388,-0.2894736842105263,76,0,0.0
mistral7b,gsm8k,early50p_surprisal_mean,lower_better,0.7181286549707601,0.7631578947368421,1.0,0.045029239766082085,-0.23684210526315785,76,0,0.0
mistral7b,gsm8k,early50p_surprisal_slope,lower_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,entropy_diff_std,lower_better,0.7181286549707601,0.8026315789473685,1.0,0.08450292397660841,-0.19736842105263153,76,0,0.0
mistral7b,gsm8k,entropy_early_late_delta,lower_better,0.7181286549707601,0.7631578947368421,1.0,0.045029239766082085,-0.23684210526315785,76,0,0.0
mistral7b,gsm8k,entropy_max,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,3,0.039473684210526314
mistral7b,gsm8k,entropy_mean,lower_better,0.7181286549707601,0.7631578947368421,1.0,0.045029239766082085,-0.23684210526315785,76,0,0.0
mistral7b,gsm8k,entropy_p90,lower_better,0.7181286549707601,0.7631578947368421,1.0,0.045029239766082085,-0.23684210526315785,76,0,0.0
mistral7b,gsm8k,entropy_range,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,3,0.039473684210526314
mistral7b,gsm8k,entropy_range_approx,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,entropy_slope,lower_better,0.7181286549707601,0.6973684210526315,1.0,-0.020760233918128534,-0.3026315789473685,76,0,0.0
mistral7b,gsm8k,entropy_std,lower_better,0.7181286549707601,0.8026315789473685,1.0,0.08450292397660841,-0.19736842105263153,76,0,0.0
mistral7b,gsm8k,failure_risk,lower_better,0.7181286549707601,0.7207602339181286,1.0,0.0026315789473685403,-0.2792397660818714,76,76,1.0
mistral7b,gsm8k,focused_head_mean,higher_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,focused_head_mean_zscore,higher_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,focused_head_rate,higher_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,hidden_max_abs_last_layer_mean,higher_better,0.7181286549707601,0.6447368421052632,1.0,-0.0733918128654969,-0.35526315789473684,76,0,0.0
mistral7b,gsm8k,hidden_max_abs_last_layer_mean_zscore,higher_better,0.7181286549707601,0.6447368421052632,1.0,-0.0733918128654969,-0.35526315789473684,76,0,0.0
mistral7b,gsm8k,hidden_std_last_layer_mean,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,hidden_std_last_layer_mean_zscore,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,high_entropy_frac,lower_better,0.7181286549707601,0.7186925647451963,1.0,0.0005639097744362109,-0.28130743525480373,76,76,1.0
mistral7b,gsm8k,high_entropy_steps,lower_better,0.7181286549707601,0.7186925647451963,1.0,0.0005639097744362109,-0.28130743525480373,76,76,1.0
mistral7b,gsm8k,l2_norm_cross_layer_max,higher_better,0.7181286549707601,0.7324561403508772,1.0,0.014327485380117189,-0.26754385964912275,76,6,0.07894736842105263
mistral7b,gsm8k,l2_norm_cross_layer_max_zscore,higher_better,0.7181286549707601,0.7324561403508772,1.0,0.014327485380117189,-0.26754385964912275,76,6,0.07894736842105263
mistral7b,gsm8k,l2_norm_last_layer_mean,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,l2_norm_last_layer_mean_zscore,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,l2_norm_slope,lower_better,0.7181286549707601,0.6710526315789473,1.0,-0.047076023391812716,-0.32894736842105265,76,0,0.0
mistral7b,gsm8k,late50p_entropy_mean,lower_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,late50p_margin_mean,higher_better,0.7181286549707601,0.7236842105263158,1.0,0.005555555555555758,-0.2763157894736842,76,0,0.0
mistral7b,gsm8k,late50p_surprisal_mean,lower_better,0.7181286549707601,0.7105263157894737,1.0,-0.007602339181286388,-0.2894736842105263,76,0,0.0
mistral7b,gsm8k,margin_diff_std,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,margin_early_late_delta,higher_better,0.7181286549707601,0.7631578947368421,1.0,0.045029239766082085,-0.23684210526315785,76,0,0.0
mistral7b,gsm8k,margin_mean,higher_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,margin_min,higher_better,0.7181286549707601,0.8223684210526315,1.0,0.10423976608187147,-0.17763157894736847,76,6,0.07894736842105263
mistral7b,gsm8k,margin_range,lower_better,0.7181286549707601,0.8223684210526315,1.0,0.10423976608187147,-0.17763157894736847,76,6,0.07894736842105263
mistral7b,gsm8k,margin_slope,higher_better,0.7181286549707601,0.7368421052631579,1.0,0.018713450292397793,-0.26315789473684215,76,0,0.0
mistral7b,gsm8k,margin_std,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,0,0.0
mistral7b,gsm8k,max_compound_severity,higher_better,0.7181286549707601,0.7284722222222221,1.0,0.010343567251462016,-0.2715277777777779,76,76,1.0
mistral7b,gsm8k,n_compound_signals,higher_better,0.7181286549707601,0.7284722222222221,1.0,0.010343567251462016,-0.2715277777777779,76,76,1.0
mistral7b,gsm8k,n_warning_signals,higher_better,0.7181286549707601,0.7407894736842104,1.0,0.02266081871345038,-0.25921052631578956,76,63,0.8289473684210527
mistral7b,gsm8k,perplexity_max,lower_better,0.7181286549707601,0.75,1.0,0.03187134502923994,-0.25,76,3,0.039473684210526314
mistral7b,gsm8k,perplexity_mean,lower_better,0.7181286549707601,0.7763157894736842,1.0,0.05818713450292412,-0.22368421052631582,76,0,0.0
mistral7b,gsm8k,risk_score,higher_better,0.7181286549707601,0.7284722222222221,1.0,0.010343567251462016,-0.2715277777777779,76,76,1.0
mistral7b,gsm8k,risk_score_is_one,higher_better,0.7181286549707601,0.7284722222222221,1.0,0.010343567251462016,-0.2715277777777779,76,76,1.0
mistral7b,gsm8k,surprisal_diff_std,lower_better,0.7181286549707601,0.6973684210526315,1.0,-0.020760233918128534,-0.3026315789473685,76,0,0.0
