model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
llama,gsm8k,failure_risk_is_one,0.0,0.0,0.0
llama,gsm8k,failure_risk_is_zero,0.6995073891625616,0.6598311218335344,-0.03967626732902718
llama,gsm8k,focused_head_mean,4.71415422685241,4.684759694767129,-0.029394532085281533
llama,gsm8k,focused_head_mean_zscore,-0.5902048480037027,-0.6464799004879085,-0.056275052484205834
llama,gsm8k,focused_head_rate,0.14731731958913782,0.14639874046147278,-0.0009185791276650479
llama,gsm8k,hidden_max_abs_last_layer_mean,25.018896172098206,25.46985676037757,0.450960588279365
llama,gsm8k,hidden_max_abs_last_layer_mean_zscore,-0.2262678046691219,-0.032573456323165585,0.19369434834595634
llama,gsm8k,hidden_std_last_layer_mean,2.193702603235505,2.191032102004258,-0.0026705012312473464
llama,humaneval,attention_collapse_detected,0.03536585365853658,0.02926829268292683,-0.006097560975609751
llama,humaneval,attn_entropy_norm_mean,0.3375781850545382,0.336218580189506,-0.0013596048650321713
llama,humaneval,attn_entropy_norm_std,0.13705945084053522,0.13712254850216982,6.30976616345924e-05
llama,humaneval,collapsed_rate_mean,0.013517117414703324,0.013606095172619131,8.8977757915807e-05
llama,humaneval,collapsed_rate_mean_zscore,0.6544037657116103,0.6777994616391477,0.02339569592753743
llama,humaneval,compound_density_per_100t,0.19165162920467946,0.18999948570487057,-0.0016521434998088835
llama,humaneval,concentration_max_mean,0.9217629429181462,0.921703205653401,-5.973726474517438e-05
llama,humaneval,concentration_min_mean,0.21041765185512673,0.2124259538291785,0.002008301974051774
llama,humaneval,cs_attention_bottleneck,0.0,0.0,0.0
llama,humaneval,cs_confident_confusion,0.0,0.0,0.0
llama,humaneval,cs_confident_repetition_risk,0.9768292682926829,0.9658536585365853,-0.01097560975609757
llama,humaneval,cs_context_loss,0.0,0.0,0.0
llama,humaneval,cs_degenerating_generation,0.0,0.0,0.0
llama,humaneval,early10_entropy_mean,0.554617967738369,0.5851774029112703,0.030559435172901273
llama,humaneval,early10_entropy_slope,-0.047077047880024765,-0.03573314553159463,0.011343902348430135
llama,humaneval,early10_margin_mean,0.7605649721722414,0.7585261724516749,-0.002038799720566531
llama,humaneval,early10_margin_slope,0.015434087721764468,0.013002060255351017,-0.002432027466413451
llama,humaneval,early10_surprisal_mean,0.5654403544344178,0.6631993896270806,0.09775903519266282
llama,humaneval,early10_surprisal_slope,-0.045288687825239024,-0.06512883397187745,-0.019840146146638427
llama,humaneval,early25p_entropy_mean,0.2585283535370354,0.32062936393254765,0.062101010395512246
llama,humaneval,early25p_entropy_slope,-0.0018430359293936712,-0.0014607317982152036,0.0003823041311784676
llama,humaneval,early25p_margin_mean,0.8830712883110375,0.8646845778602308,-0.018386710450806754
llama,humaneval,early25p_margin_slope,0.0008441949782339288,0.0006868055800214437,-0.0001573893982124851
llama,humaneval,early25p_surprisal_mean,0.2611635448857282,0.32679765456230586,0.06563410967657768
llama,humaneval,early25p_surprisal_slope,-0.00195332960054717,-0.00170041799535494,0.00025291160519222986
llama,humaneval,early50p_entropy_mean,0.22834845869896514,0.3018980145566963,0.07354955585773115
llama,humaneval,early50p_entropy_slope,-0.0006433228857631261,-0.00048360739741740724,0.0001597154883457189
llama,humaneval,early50p_margin_mean,0.899533099293758,0.8763641990876992,-0.023168900206058773
llama,humaneval,early50p_margin_slope,0.0003244627763527756,0.0002551820250826512,-6.928075127012441e-05
llama,humaneval,early50p_surprisal_mean,0.22862702238726426,0.3053918174822164,0.07676479509495213
llama,humaneval,early50p_surprisal_slope,-0.0006841489102813599,-0.0005305439693105116,0.00015360494097084833
llama,humaneval,entropy_diff_std,0.5801830663840236,0.6912491947454128,0.11106612836138918
llama,humaneval,entropy_early_late_delta,-0.1584359155836041,-0.1584983873393957,-6.247175579160436e-05
llama,humaneval,entropy_max,3.5925081060597557,3.999138655180109,0.40663054912035346
llama,humaneval,entropy_mean,0.17677683144908882,0.2467217547086722,0.06994492325958337
llama,humaneval,entropy_min,0.0,0.0,0.0
llama,humaneval,entropy_p90,0.6152812727074439,0.8749469376372015,0.2596656649297576
llama,humaneval,entropy_range,3.5925081060597557,3.999138655180109,0.40663054912035346
llama,humaneval,entropy_range_approx,3.4157312746106667,3.752416900471437,0.33668562586077044
llama,humaneval,entropy_slope,-0.000434290345483112,-0.00044586158967006845,-1.157124418695645e-05
llama,humaneval,entropy_std,0.48313564630910266,0.5891027701873444,0.1059671238782417
llama,humaneval,failure_risk,0.1045121951219512,0.12463414634146341,0.020121951219512213
llama,humaneval,failure_risk_is_one,0.0,0.0,0.0
llama,humaneval,failure_risk_is_zero,0.7890243902439025,0.75,-0.039024390243902474
llama,humaneval,focused_head_mean,5.416573924329428,5.428611711756444,0.012037787427016333
llama,humaneval,focused_head_mean_zscore,0.7545590430075888,0.777605067937792,0.023046024930203246
llama,humaneval,focused_head_rate,0.16926793513529462,0.16964411599238888,0.0003761808570942604
llama,humaneval,hidden_max_abs_last_layer_mean,25.86776987181783,25.97998106673581,0.11221119491797893
llama,humaneval,hidden_max_abs_last_layer_mean_zscore,0.13833620368239624,0.1865325978721563,0.04819639418976007
llama,humaneval,hidden_std_last_layer_mean,2.178743511736008,2.1792109590099833,0.0004674472739751856
mistral7b,gsm8k,attention_collapse_detected,0.0,0.0,0.0
mistral7b,gsm8k,attn_entropy_norm_mean,0.40313677977426704,0.4021030073760928,-0.0010337723981742597
mistral7b,gsm8k,attn_entropy_norm_std,0.10685098403181656,0.1065658906367297,-0.00028509339508686615
mistral7b,gsm8k,collapsed_rate_mean,0.001506062470224767,0.0015590814970350493,5.301902681028236e-05
mistral7b,gsm8k,collapsed_rate_mean_zscore,-0.416826236437695,-0.29992615188105953,0.11690008455663548
mistral7b,gsm8k,compound_density_per_100t,0.4791955547700924,0.4512169599185068,-0.027978594851585603
mistral7b,gsm8k,concentration_max_mean,0.8526795334161441,0.8530869110293262,0.00040737761318210275
mistral7b,gsm8k,concentration_min_mean,0.16689661215878193,0.16791803744217573,0.001021425283393801
mistral7b,gsm8k,cs_attention_bottleneck,0.0,0.0,0.0
mistral7b,gsm8k,cs_confident_confusion,0.0,0.0,0.0
mistral7b,gsm8k,cs_confident_repetition_risk,0.9512195121951219,0.9253731343283582,-0.025846377866763692
mistral7b,gsm8k,cs_context_loss,0.0,0.0,0.0
mistral7b,gsm8k,cs_degenerating_generation,0.0,0.0,0.0
mistral7b,gsm8k,early10_entropy_mean,0.5257233467419944,0.6675763021016777,0.14185295535968334
mistral7b,gsm8k,early10_entropy_slope,0.04343800269704974,0.061759675113257265,0.018321672416207524
mistral7b,gsm8k,early10_margin_mean,0.7952773265203117,0.762274410558948,-0.03300291596136373
mistral7b,gsm8k,early10_margin_slope,-0.025860912862013846,-0.029279597354307265,-0.0034186844922934195
mistral7b,gsm8k,early10_surprisal_mean,0.520177722112159,0.6095586710412823,0.0893809489291233
mistral7b,gsm8k,early10_surprisal_slope,0.05088033554697587,0.06490822857415322,0.01402789302717735
mistral7b,gsm8k,early25p_entropy_mean,0.37264299363644254,0.4602141137517105,0.08757112011526796
mistral7b,gsm8k,early25p_entropy_slope,-0.005621435935425351,-0.007720849456298362,-0.002099413520873011
mistral7b,gsm8k,early25p_margin_mean,0.8319280039714925,0.8032355661054531,-0.028692437866039366
mistral7b,gsm8k,early25p_margin_slope,0.0015384613263384678,0.002046744388386316,0.000508283062047848
mistral7b,gsm8k,early25p_surprisal_mean,0.3667586873015864,0.44982236974191053,0.08306368244032414
mistral7b,gsm8k,early25p_surprisal_slope,-0.006284487326241548,-0.005806311033220984,0.00047817629302056384
mistral7b,gsm8k,early50p_entropy_mean,0.2826021592651591,0.3541710995677459,0.07156894030258681
mistral7b,gsm8k,early50p_entropy_slope,-0.003711998272004419,-0.004605288898284564,-0.0008932906262801446
mistral7b,gsm8k,early50p_margin_mean,0.8674964626260164,0.8415488971797697,-0.025947565446246768
mistral7b,gsm8k,early50p_margin_slope,0.0013780436784084666,0.0015751773017095426,0.00019713362330107606
mistral7b,gsm8k,early50p_surprisal_mean,0.28135987858421196,0.34788080724245196,0.06652092865824
mistral7b,gsm8k,early50p_surprisal_slope,-0.0037063442746527306,-0.004343926621361294,-0.0006375823467085632
mistral7b,gsm8k,entropy_diff_std,0.6544172895298593,0.741188232131927,0.08677094260206764
mistral7b,gsm8k,entropy_early_late_delta,-0.17989175879048236,-0.21892282721426495,-0.039031068423782594
mistral7b,gsm8k,entropy_max,2.637274750273856,2.9022628626384606,0.2649881123646045
mistral7b,gsm8k,entropy_mean,0.23594443707987547,0.30070705082751853,0.06476261374764306
mistral7b,gsm8k,entropy_min,0.0,0.0,0.0
mistral7b,gsm8k,entropy_p90,0.9300617931953878,1.1253187365327644,0.19525694333737653
mistral7b,gsm8k,entropy_range,2.637274750273856,2.9022628626384606,0.2649881123646045
mistral7b,gsm8k,entropy_range_approx,2.4013303131939807,2.601555811810942,0.20022549861696115
mistral7b,gsm8k,entropy_slope,-0.0010721707486787703,-0.0013419216372901614,-0.0002697508886113911
mistral7b,gsm8k,entropy_std,0.4955471410463017,0.5731385870337878,0.07759144598748613
mistral7b,gsm8k,failure_risk,0.6006968641114981,0.6,-0.0006968641114981633
mistral7b,gsm8k,failure_risk_is_one,0.0,0.0,0.0
mistral7b,gsm8k,failure_risk_is_zero,0.0,0.0,0.0
mistral7b,gsm8k,focused_head_mean,0.7676112815171549,0.7729442976878184,0.005333016170663507
mistral7b,gsm8k,focused_head_mean_zscore,0.1812936487858053,0.21905920051399697,0.037765551728191654
mistral7b,gsm8k,focused_head_rate,0.02398785254741109,0.024154509302744324,0.0001666567553332346
mistral7b,gsm8k,hidden_max_abs_last_layer_mean,78.73779379649181,78.98029485318305,0.24250105669123911
mistral7b,gsm8k,hidden_max_abs_last_layer_mean_zscore,-0.682116573231918,-0.6642592833939938,0.01785728983792423
mistral7b,gsm8k,hidden_std_last_layer_mean,5.624605896442576,5.625703815639753,0.0010979191971767222
mistral7b,humaneval,attention_collapse_detected,0.0,0.0,0.0
mistral7b,humaneval,attn_entropy_norm_mean,0.3952686078114804,0.39591497238103945,0.000646364569559077
mistral7b,humaneval,attn_entropy_norm_std,0.1059123548858214,0.10563436068390238,-0.0002779942019190268
mistral7b,humaneval,collapsed_rate_mean,0.00196288726416936,0.0018855021444557944,-7.738511971356558e-05
mistral7b,humaneval,collapsed_rate_mean_zscore,0.5904132444147423,0.41978908206805204,-0.17062416234669026
