model,dataset,question_id,signal,n_runs,std_across_runs,range_across_runs
llama,gsm8k,gsm8k_0095,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0096,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0097,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0098,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0099,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0100,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0101,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0102,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0103,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0104,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0105,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0106,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0107,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0108,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0109,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0110,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0111,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0112,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0113,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0114,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0115,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0116,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0117,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0118,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0119,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0120,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0121,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0122,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0123,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0124,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0125,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0126,prompt_surprisal_mean,10,0.0,0.0
