model,dataset,tier,fold,auroc,splitter,n_prompt_groups
mixtral,gsm8k,T4: + early_window,1,0.5036344755970924,StratifiedGroupKFold,165
mixtral,gsm8k,T4: + early_window,2,0.554978354978355,StratifiedGroupKFold,165
mixtral,gsm8k,T4: + early_window,3,0.5863942621169311,StratifiedGroupKFold,165
mixtral,gsm8k,T4: + early_window,4,0.4896103896103896,StratifiedGroupKFold,165
mixtral,gsm8k,T5: + health_signals,0,0.5629672225416906,StratifiedGroupKFold,165
mixtral,gsm8k,T5: + health_signals,1,0.502803738317757,StratifiedGroupKFold,165
mixtral,gsm8k,T5: + health_signals,2,0.5261904761904761,StratifiedGroupKFold,165
mixtral,gsm8k,T5: + health_signals,3,0.5709628341664854,StratifiedGroupKFold,165
mixtral,gsm8k,T5: + health_signals,4,0.5196969696969697,StratifiedGroupKFold,165
mixtral,gsm8k,T6: full_corevital,0,0.6958021851638873,StratifiedGroupKFold,165
mixtral,gsm8k,T6: full_corevital,1,0.649221183800623,StratifiedGroupKFold,165
mixtral,gsm8k,T6: full_corevital,2,0.6409090909090909,StratifiedGroupKFold,165
mixtral,gsm8k,T6: full_corevital,3,0.655727015866116,StratifiedGroupKFold,165
mixtral,gsm8k,T6: full_corevital,4,0.6090909090909092,StratifiedGroupKFold,165
mixtral,humaneval,T1: entropy_only,0,0.6091772151898733,StratifiedGroupKFold,162
mixtral,humaneval,T1: entropy_only,1,0.4828363818591832,StratifiedGroupKFold,162
mixtral,humaneval,T1: entropy_only,2,0.4468783068783069,StratifiedGroupKFold,162
mixtral,humaneval,T1: entropy_only,3,0.546672077922078,StratifiedGroupKFold,162
mixtral,humaneval,T1: entropy_only,4,0.5808068153345026,StratifiedGroupKFold,162
mixtral,humaneval,T2: confidence_baseline,0,0.617992766726944,StratifiedGroupKFold,162
mixtral,humaneval,T2: confidence_baseline,1,0.6613630669005262,StratifiedGroupKFold,162
mixtral,humaneval,T2: confidence_baseline,2,0.4733333333333333,StratifiedGroupKFold,162
mixtral,humaneval,T2: confidence_baseline,3,0.5514069264069263,StratifiedGroupKFold,162
mixtral,humaneval,T2: confidence_baseline,4,0.5507391631170133,StratifiedGroupKFold,162
mixtral,humaneval,T3: + prompt_signals,0,0.5740280289330922,StratifiedGroupKFold,162
mixtral,humaneval,T3: + prompt_signals,1,0.6740165372087197,StratifiedGroupKFold,162
mixtral,humaneval,T3: + prompt_signals,2,0.4993650793650794,StratifiedGroupKFold,162
mixtral,humaneval,T3: + prompt_signals,3,0.61620670995671,StratifiedGroupKFold,162
mixtral,humaneval,T3: + prompt_signals,4,0.47331495865697815,StratifiedGroupKFold,162
mixtral,humaneval,T4: + early_window,0,0.8026672694394212,StratifiedGroupKFold,162
mixtral,humaneval,T4: + early_window,1,0.7068403908794789,StratifiedGroupKFold,162
mixtral,humaneval,T4: + early_window,2,0.8279365079365079,StratifiedGroupKFold,162
mixtral,humaneval,T4: + early_window,3,0.7719155844155845,StratifiedGroupKFold,162
mixtral,humaneval,T4: + early_window,4,0.700826860435981,StratifiedGroupKFold,162
mixtral,humaneval,T5: + health_signals,0,0.8033453887884268,StratifiedGroupKFold,162
mixtral,humaneval,T5: + health_signals,1,0.7171135053871212,StratifiedGroupKFold,162
mixtral,humaneval,T5: + health_signals,2,0.8393650793650793,StratifiedGroupKFold,162
mixtral,humaneval,T5: + health_signals,3,0.8111471861471862,StratifiedGroupKFold,162
