index,perplexity_mean,entropy_mean,surprisal_mean,entropy_std,entropy_p90,surprisal_p90,margin_std,margin_mean,entropy_diff_std,surprisal_std,early50p_entropy_mean,surprisal_diff_std,early50p_surprisal_mean,early50p_margin_mean,late50p_entropy_mean,late50p_surprisal_mean,surprisal_volatility,margin_diff_std,late50p_margin_mean,early25p_entropy_mean,early25p_surprisal_mean,early25p_margin_mean,perplexity_max,entropy_max,entropy_range,surprisal_max,surprisal_range,topk_mass_std,topk_mass_mean,compound_density_per_100t
late50p_surprisal_mean,0.762045275545662,0.8019821387776612,0.8163630871848335,0.7136406224149676,0.7701682439998361,0.8005849011379632,0.771236605227543,-0.7965005197487514,0.7364771249424475,0.7357179667379727,0.34439940471982433,0.7468051372800435,0.3311459727480151,-0.3478478473813022,0.9646409546608999,1.0,-0.7478435668123984,0.7463898954612902,-0.9505417257596849,0.2119359315779829,0.19732781715381237,-0.21600404678918872,0.23491091681308782,0.23491091681308782,0.23491091681308782,0.3111327948593657,0.3111327948593657,0.28128918474406195,-0.31086557810961,-0.02128729920738906
surprisal_volatility,-0.824136021955191,-0.9351067575077706,-0.8927922757698109,-0.7403250338806975,-0.9157326426180566,-0.9434485813611411,-0.9410317998029435,0.9719335998724387,-0.7517825771966417,-0.6606431147458229,-0.6881720115861653,-0.665991045764266,-0.6274695484974315,0.7272336004043528,-0.7763347025416792,-0.7478435668123984,1.0,-0.8854556290599485,0.8061270482343935,-0.4918134700276539,-0.4227822200778682,0.5272392900959914,-0.08935262947492141,-0.08935262947492141,-0.08935262947492141,-0.08053963190926071,-0.08053963190926071,-0.13636521961524603,0.17372546691965055,-0.018794162859285427
margin_diff_std,0.7967416029383318,0.8763424174822199,0.8424882858276592,0.732096162943487,0.8561052244802305,0.8736295649766119,0.9224817158733055,-0.9223192491357042,0.837163413216982,0.6780393462787192,0.6803973077594199,0.7269746793970455,0.638218802953956,-0.7226949258033589,0.7758311871159502,0.7463898954612902,-0.8854556290599485,1.0,-0.8095975380846544,0.5265879160912555,0.4817552314087776,-0.5567515900926204,0.11361685808777715,0.11361685808777715,0.11361685808777715,0.18574782533778375,0.18574782533778375,0.1566539319303828,-0.19205033382789602,0.11572510410825215
late50p_margin_mean,-0.7621797930634008,-0.8272784301837157,-0.7998096129162096,-0.6997405348728424,-0.7978652828861977,-0.8104627998238628,-0.8195442203169443,0.8462741817137757,-0.7365727825591137,-0.6702287858016213,-0.36952859463735527,-0.68909401983684,-0.3523473958724101,0.38221455466913645,-0.9847188327273168,-0.9505417257596849,0.8061270482343935,-0.8095975380846544,1.0,-0.24405125399876246,-0.22452569801506428,0.2516786824533989,-0.17698129398008114,-0.17698129398008114,-0.17698129398008114,-0.23742781239907954,-0.23742781239907954,-0.22542835429789976,0.25535678741876683,-0.04003239797632432
early25p_entropy_mean,0.5487137266947727,0.5765344402903033,0.5480539612640671,0.5309783734365554,0.558498750045603,0.5539735742230655,0.56326921424859,-0.5728587732124195,0.5167241569400476,0.46706769545282845,0.7831510948350717,0.45778396312905045,0.7224965071842276,-0.7629875263806968,0.22286107858338383,0.2119359315779829,-0.4918134700276539,0.5265879160912555,-0.24405125399876246,1.0,0.8969759302320753,-0.9598184415999617,0.12528364515487442,0.12528364515487442,0.12528364515487442,0.1249049589666432,0.1249049589666432,0.1670133150787472,-0.1972343694891051,0.15695989763904694
early25p_surprisal_mean,0.5038000408750799,0.5284590239807511,0.5732957492202594,0.4881942326708279,0.515076165994201,0.5433459693899727,0.5184449109649987,-0.5255258811459335,0.4718366423109802,0.5553572027101632,0.7151762044172614,0.5447708349488154,0.7816446301677511,-0.6999811586158338,0.20800228047548586,0.19732781715381237,-0.4227822200778682,0.4817552314087776,-0.22452569801506428,0.8969759302320753,1.0,-0.8655582688749248,0.13095965287557593,0.13095965287557593,0.13095965287557593,0.23263862839522895,0.23263862839522895,0.16202253968508787,-0.18834165191571894,0.12473793815759042
early25p_margin_mean,-0.5133560572142597,-0.5703308589944777,-0.5426332590704737,-0.48030911493466755,-0.5677977932842877,-0.5687544584549109,-0.5948278869096919,0.5978543497525678,-0.46583984359237673,-0.43079024002945093,-0.7643218530619554,-0.4232559066017855,-0.7071704491323234,0.7974252796044592,-0.22793367224292824,-0.21600404678918872,0.5272392900959914,-0.5567515900926204,0.2516786824533989,-0.9598184415999617,-0.8655582688749248,1.0,-0.043877769757339355,-0.043877769757339355,-0.043877769757339355,-0.09591213873577417,-0.09591213873577417,-0.06493544972341006,0.09020881808257177,-0.11041310401052079
perplexity_max,0.49699056137374314,0.31846150464412654,0.3087784873170767,0.5610516273750055,0.27647225237607226,0.24555762277303333,0.2462624249584505,-0.2062183953621926,0.4481689809408532,0.42607487316783527,0.24923739709315237,0.36216831626873247,0.2429612162380555,-0.14214636658126217,0.2420391377638698,0.23491091681308782,-0.08935262947492141,0.11361685808777715,-0.17698129398008114,0.12528364515487442,0.13095965287557593,-0.043877769757339355,1.0,1.0,1.0,0.5601645399241462,0.5601645399241462,0.9151453475702477,-0.8682996878568844,-0.366794241829829
entropy_max,0.49699056137374314,0.31846150464412654,0.3087784873170767,0.5610516273750055,0.27647225237607226,0.24555762277303333,0.2462624249584505,-0.2062183953621926,0.4481689809408532,0.42607487316783527,0.24923739709315237,0.36216831626873247,0.2429612162380555,-0.14214636658126217,0.2420391377638698,0.23491091681308782,-0.08935262947492141,0.11361685808777715,-0.17698129398008114,0.12528364515487442,0.13095965287557593,-0.043877769757339355,1.0,1.0,1.0,0.5601645399241462,0.5601645399241462,0.9151453475702477,-0.8682996878568844,-0.366794241829829
entropy_range,0.49699056137374314,0.31846150464412654,0.3087784873170767,0.5610516273750055,0.27647225237607226,0.24555762277303333,0.2462624249584505,-0.2062183953621926,0.4481689809408532,0.42607487316783527,0.24923739709315237,0.36216831626873247,0.2429612162380555,-0.14214636658126217,0.2420391377638698,0.23491091681308782,-0.08935262947492141,0.11361685808777715,-0.17698129398008114,0.12528364515487442,0.13095965287557593,-0.043877769757339355,1.0,1.0,1.0,0.5601645399241462,0.5601645399241462,0.9151453475702477,-0.8682996878568844,-0.366794241829829
surprisal_max,0.4482162178475184,0.3603840851011731,0.4306238889387651,0.4806282043489003,0.350766159352061,0.3339730897072798,0.3090564873894917,-0.2869713477063094,0.3782606890559487,0.6215900233269437,0.2787455502999015,0.5710671451900439,0.3660923543757481,-0.2214316676773065,0.2896452731955888,0.3111327948593657,-0.08053963190926071,0.18574782533778375,-0.23742781239907954,0.1249049589666432,0.23263862839522895,-0.09591213873577417,0.5601645399241462,0.5601645399241462,0.5601645399241462,1.0,1.0,0.5425771755972945,-0.5365682474673763,-0.4097457031623984
surprisal_range,0.4482162178475184,0.3603840851011731,0.4306238889387651,0.4806282043489003,0.350766159352061,0.3339730897072798,0.3090564873894917,-0.2869713477063094,0.3782606890559487,0.6215900233269437,0.2787455502999015,0.5710671451900439,0.3660923543757481,-0.2214316676773065,0.2896452731955888,0.3111327948593657,-0.08053963190926071,0.18574782533778375,-0.23742781239907954,0.1249049589666432,0.23263862839522895,-0.09591213873577417,0.5601645399241462,0.5601645399241462,0.5601645399241462,1.0,1.0,0.5425771755972945,-0.5365682474673763,-0.4097457031623984
topk_mass_std,0.5505112467184504,0.37239668943359183,0.35928984912766354,0.6141248230251165,0.31585432349851644,0.2890323489498718,0.2806918813676675,-0.25003851670624555,0.5088769972655384,0.47906488374387857,0.28825249478109927,0.41956413827575456,0.27489707902603744,-0.16401544650598762,0.2889143148244897,0.28128918474406195,-0.13636521961524603,0.1566539319303828,-0.22542835429789976,0.1670133150787472,0.16202253968508787,-0.06493544972341006,0.9151453475702477,0.9151453475702477,0.9151453475702477,0.5425771755972945,0.5425771755972945,1.0,-0.972920115851313,-0.22933328688122354
topk_mass_mean,-0.5890211928600859,-0.41304203506282244,-0.3989921278261622,-0.6565539411415972,-0.3546060351416345,-0.3278308212419054,-0.31711281144560216,0.2866629544745114,-0.5539838401966135,-0.5179419630810541,-0.32111769187073474,-0.4593852287114315,-0.3053887678619922,0.19260911571460765,-0.3188736436838101,-0.31086557810961,0.17372546691965055,-0.19205033382789602,0.25535678741876683,-0.1972343694891051,-0.18834165191571894,0.09020881808257177,-0.8682996878568844,-0.8682996878568844,-0.8682996878568844,-0.5365682474673763,-0.5365682474673763,-0.972920115851313,1.0,0.1845159731459184
compound_density_per_100t,-0.05351565646771214,-0.0033993382001760355,-0.018355199507919653,-0.07643208866326007,-0.03657252076629839,-0.011886408545718461,-0.010357924543802008,-0.022024452072457783,0.03856060748397405,-0.07393264182922171,0.03328832645485481,-0.018501848089758376,0.021002386287965073,-0.023833117511342594,-0.003187096083517006,-0.02128729920738906,-0.018794162859285427,0.11572510410825215,-0.04003239797632432,0.15695989763904694,0.12473793815759042,-0.11041310401052079,-0.366794241829829,-0.366794241829829,-0.366794241829829,-0.4097457031623984,-0.4097457031623984,-0.22933328688122354,0.1845159731459184,1.0
